"name","url"
"American University of Afghanistan","http://www.auaf.edu.af/"
"Bakhtar University","http://www.bakhtar.edu.af/"
"Herat University","http://www.heratuniversity.org/"
"Kabul Medical University","http://kmu.edu.af/"
"Kabul University","http://www.ku.edu.af/"
"Kardan University","http://www.kardan.edu.af/"
"Nangarhar University","http://www.nangarharuniversity.org/"
"Polytechnical University","http://www.polytechnic-kabul.org/"
"Multimedia MARUBI","http://www.afmm.edu.al/"
"Academy of Fine Arts Tirana","http://www.artacademy.al/"
"Academy of Sports and Physical Education Vojo Kushi","http://www.aefs.edu.al/"
"Agricultural University of Tirana","http://www.ubt.edu.al/"
"Higher School Justiniani i Parë","http://justinianiipare.com/"
"New York University Tirana","http://www.unyt.edu.al/"
"Polytechnic University of Tirana","http://www.upt.al/"
"Università Nostra Signora del Buon Consiglio Tirana *","http://www.unizkm.al/"
"University Aleksandër Moisiu Durres","http://www.uamd.edu.al/"
"University Aleksander Xhuvani Elbasan","http://www.uniel.edu.al/"
"University Eqrem Çabej Gjirokaster","http://www.uogj.edu.al/"
"University Europian i Tiranes","http://www.universitetieuropian.com/"
"University Fan S. Noli Korçe","http://www.unkorce.edu.al/"
"University Ismail Qemali Vlore","http://www.univlora.edu.al/"
"University Kristal","http://www.kristal.edu.al/"
"University Luarasi","http://www.luarasi-univ.edu.al/"
"University Luigj Gurakuqi Shkoder","http://www.unishk.edu.al/"
"University Marin Barleti","http://www.umb.edu.al/"
"University of Tirana","http://www.unitir.edu.al/"
"University of Tirana Faculty of Natural Sciences","http://www.fshn.edu.al/"
"University POLIS","http://www.universitetipolis.org/"
"University Ufo Dental","http://www.ufouniversity.al/"
"Wisdom University","http://www.wisdom.al/"
"Centre Universitaire de Khenchela","http://www.cuniv-khenchela.edu.dz/"
"Centre Universitaire de Tébessa","http://www.univ-tebessa.dz/"
"Ecole National Supérieure de l""Informatique (ex-INI)","http://www.esi.dz/"
"Ecole Nationale d""Administration","http://www.ena.dz/"
"École Nationale des Travaux Publics","http://www.entp.edu.dz/"
"École Nationale Polytechnique d""Alger","http://www.enp.edu.dz/"
"Ecole Nationale Polytechnique d""Architecture et d""Urbanisme","http://www.epau.edu.dz/"
"Ecole Nationale Supérieure de l""Hydraulique de Blida","http://www.ensh.net/"
"Ecole Nationale Vétérinaire d""Alger","http://www.env.dz/"
"École Normale Supérieur en Lettres et Sciences Humaines Bouzareah","http://www.ensb.dz/"
"École Normale Supérieure de Kouba","http://www.ens-kouba.dz/"
"École Normale Supérieure d""Enseignament Technique Oran","http://www.enset-oran.dz/"
"École Normale Supérieure des Lettres et Sciences Humaines de Constantine","http://www.ens-constantine.dz/"
"École Supérieure Algerienne des Affaires","http://www.esaa.dz/"
"Ecole Supérieure de la Magistrature","http://www.esm.dz/"
"Institut National Agronomique","http://www.ina.dz/"
"Institut National des Sciences de la Mer et de l""Amenagement du Littoral Algeria","http://www.ismal.net/"
"Institut Supérieur de Gestión et de Planification","http://www.isgp-dz.com/"
"Institut Algero Tunisien","http://www.iedf.edu.dz/"
"Université 08 Mai 1945 Guelma","http://www.univ-guelma.dz/"
"Université Abdelhamid Ibn Badis Mostaganem","http://www.univ-mosta.dz/"
"Université Abou Bekr Belkaid Tlemcen","http://www.univ-tlemcen.dz/"
"Université Ahmed Draya Adrar","http://www.univadrar.org/"
"Université Amar Telidji de Laghouat","http://web.lagh-univ.dz/"
"Université Badji Mokhtar Annaba","http://www.univ-annaba.org/"
"Université d""Alger","http://www.univ-alger.dz/"
"Université de Batna","http://www.univ-batna.dz/"
"Université de Bejaia","http://www.univ-bejaia.dz/"
